mysql> SELECT CONCAT(lastName, ", ", firstName) AS name, birthday FROM Entry WHERE DATE_FORMAT(birthday, "%H") >= 20 AND DATE_FORMAT(birthday, "%H") < 21 AND DATE_FORMAT(birthday, "%m") != 2 ORDER BY birthday ASC;
+---------------------+---------------------+
| name                | birthday            |
+---------------------+---------------------+
| Powell, Chaim       | 1945-10-31 20:56:06 |
| Bell, Amela         | 1946-01-15 20:10:27 |
| Clark, Zia          | 1946-05-27 20:48:25 |
| Flores, Aiko        | 1946-08-22 20:47:29 |
| Browning, Colton    | 1946-08-29 20:51:06 |
| Schroeder, Ross     | 1946-10-02 20:51:20 |
| Irwin, Rhea         | 1946-11-19 20:30:23 |
| Sweet, Hunter       | 1946-12-11 20:38:11 |
| Mccoy, Moses        | 1947-03-30 20:10:13 |
| Jacobson, Driscoll  | 1947-06-03 20:46:38 |
| Cochran, Salvador   | 1947-06-18 20:59:15 |
| Russell, Jesse      | 1948-03-15 20:39:13 |
| Bowman, Zeph        | 1948-06-11 20:43:07 |
| Best, Halee         | 1948-08-02 20:32:47 |
| Alston, Kibo        | 1949-03-06 20:11:11 |
| Johnson, Hayes      | 1949-03-09 20:39:39 |
| Bennett, Beck       | 1949-07-07 20:09:59 |
| Whitfield, Beatrice | 1949-09-17 20:28:51 |
| French, Aretha      | 1950-03-19 20:15:39 |
| Morin, Elizabeth    | 1950-05-17 20:47:18 |
| Baxter, Kylynn      | 1950-08-10 20:23:47 |
| Nieves, Nathan      | 1950-08-31 20:19:15 |
| Bryan, Cecilia      | 1950-10-25 20:06:58 |
| Crane, Nelle        | 1951-05-08 20:49:18 |
| Haynes, Aubrey      | 1951-06-16 20:40:23 |
| Sosa, Echo          | 1951-10-02 20:23:55 |
| Meyer, Eugenia      | 1951-11-06 20:20:34 |
| Mcdowell, Mallory   | 1952-03-01 20:38:59 |
| Downs, Colleen      | 1952-04-08 20:50:53 |
| Fry, Branden        | 1952-05-18 20:26:05 |
| Austin, Ashton      | 1952-06-14 20:39:45 |
| Perez, Rylee        | 1952-10-21 20:17:54 |
| Morris, Michelle    | 1952-11-02 20:16:34 |
| Whitney, Scott      | 1953-07-12 20:36:57 |
| Dejesus, Maia       | 1953-10-10 20:34:12 |
| Barron, Hedy        | 1953-10-28 20:59:17 |
| Tucker, Richard     | 1953-10-29 20:57:21 |
| Walls, Felicia      | 1954-01-16 20:05:33 |
| Vega, Lydia         | 1954-06-25 20:00:24 |
| Puckett, Stella     | 1954-07-26 20:41:53 |
| Ramirez, Cody       | 1954-08-06 20:22:25 |
| Gilliam, Phyllis    | 1954-09-04 20:03:20 |
| Herring, Uriah      | 1954-09-25 20:41:09 |
| Bruce, Connor       | 1954-11-07 20:17:00 |
| Bird, Alfonso       | 1954-11-12 20:44:52 |
| Good, Len           | 1955-04-20 20:45:01 |
| Mendez, Uriah       | 1955-05-03 20:58:08 |
| Melendez, Hanna     | 1955-06-01 20:27:54 |
